Confidence_Level,Self_Assessed_Skill_Level_in_WebDev,Interest_Level_in_WebDev,Self_Assessed_Skill_Level_in_GameDev,Interest_Level_in_GameDev,Self_Assessed_Skill_Level_in_CyberSecurity,Interest_Level_in_CyberSecuirty,Self_Assessed_Skill_Level_in_DataScience,Interest_Level_in_DataScience,Self_Assessed_Skill_Level_in_MobileDev,Interest_Level_in_MobileDev,Self_Assessed_Skill_Level_in_ProductManager,Interest_Level_in_ProductManager,Self_Assessed_Skill_Level_in_UIUX,Interest_Level_in_UIUX,Self_Assessed_Skill_Level_in_SoftEng,Interest_Level_in_SoftEng,Skill_to_Improve_First
7,3,6,7,3,7,9,7,3,7,7,1,5,10,2,2,8,ProductManager
4,5,5,8,9,7,7,1,2,5,1,6,4,4,2,8,8,CodingSkill
8,3,7,5,6,6,9,2,10,3,4,8,10,9,9,6,9,DataScience
5,10,5,1,10,7,8,9,9,5,7,4,6,10,3,1,7,CyberSecurity
7,7,1,1,8,5,10,8,2,6,5,1,10,10,2,7,8,MobileDev
10,1,9,4,1,8,2,9,10,4,3,10,9,7,1,3,8,WebDev
3,9,3,2,4,10,1,7,9,4,9,10,1,8,3,7,4,CodingSkill
7,9,2,7,7,2,5,10,5,1,2,8,1,2,6,2,4,GameDev
8,5,10,3,9,5,7,9,6,7,2,6,7,3,7,6,7,GameDev
5,9,6,4,3,9,2,4,7,8,8,10,3,1,9,10,2,MobileDev
4,10,8,9,6,4,4,3,7,4,5,8,10,3,2,8,10,CodingSkill
8,6,2,2,8,8,7,4,4,6,7,2,10,4,2,8,7,MobileDev
8,5,4,8,3,3,9,5,4,6,9,6,10,2,1,7,9,UIUX
3,3,2,1,6,6,6,10,5,1,2,2,3,7,7,2,6,CodingSkill
6,8,9,3,9,8,7,4,9,10,7,6,9,3,10,7,1,ProductManager
5,4,10,4,9,9,8,4,10,4,7,6,5,6,3,10,7,WebDev
2,10,2,6,6,7,8,7,1,6,4,10,7,2,8,10,2,CodingSkill
8,3,10,1,5,6,9,4,8,9,7,7,6,2,10,3,7,GameDev
6,6,2,8,1,6,10,4,8,4,4,1,1,6,4,8,9,CyberSecurity
2,8,5,2,3,6,2,9,7,9,9,1,4,4,4,5,3,CodingSkill
5,9,5,5,3,10,7,9,6,4,4,1,8,2,8,7,5,SoftEng
1,6,7,6,4,9,2,5,3,7,1,5,7,8,3,4,8,CodingSkill
10,5,1,8,5,3,7,9,8,7,6,1,5,7,10,1,2,ProductManager
6,2,2,3,8,4,9,2,7,8,5,3,5,7,3,5,9,WebDev
9,2,6,9,9,3,4,5,8,7,4,1,9,7,6,7,9,ProductManager
1,9,2,5,7,9,5,7,2,6,3,7,9,4,5,6,6,CodingSkill
10,2,4,8,10,5,5,8,8,3,4,8,6,8,1,7,3,WebDev
3,2,10,4,6,10,2,5,7,10,1,4,9,3,5,3,8,CodingSkill
7,3,6,9,3,8,3,9,6,7,5,9,7,4,4,8,6,WebDev
4,3,7,8,9,8,10,3,9,6,2,8,6,5,10,10,4,CodingSkill
9,4,10,5,10,9,1,8,8,10,7,7,2,1,5,1,1,UIUX
3,7,5,3,1,10,3,9,5,8,9,9,3,9,2,9,9,CodingSkill
5,9,8,1,9,7,5,7,5,4,6,10,9,3,3,1,8,CyberSecurity
3,2,6,5,3,3,9,5,9,7,6,3,1,1,2,4,10,CodingSkill
7,4,5,5,9,5,1,9,8,7,10,2,7,1,5,8,8,UIUX
5,9,4,4,10,3,6,8,4,3,10,10,1,1,7,8,2,DataScience
9,2,6,10,1,2,2,8,9,8,3,5,10,8,1,10,3,WebDev
7,10,6,10,8,3,6,6,6,10,8,10,7,6,5,10,4,DataScience
2,1,6,8,6,10,10,2,5,2,3,9,8,7,8,6,2,CodingSkill
4,10,1,3,9,9,6,4,10,3,4,2,3,6,5,7,2,CodingSkill
9,8,6,10,4,9,1,1,7,1,3,2,2,1,2,9,8,WebDev
2,9,1,9,5,8,5,10,9,2,2,5,5,4,4,1,4,CodingSkill
10,7,5,3,6,7,10,5,1,1,1,9,3,6,10,7,5,UIUX
9,8,7,4,9,1,2,10,9,6,1,9,10,9,8,4,3,MobileDev
10,4,1,6,6,9,1,1,10,5,1,10,7,6,1,1,1,DataScience
5,4,1,9,9,10,9,6,5,6,10,4,10,6,5,1,5,SoftEng
2,2,6,10,2,2,6,10,9,3,5,9,2,3,8,5,8,CodingSkill
4,8,7,2,4,6,1,8,5,7,10,1,7,4,8,10,7,CodingSkill
7,2,6,2,3,10,10,10,7,4,1,9,2,7,10,2,1,WebDev
8,9,5,2,4,5,9,1,7,1,5,7,7,2,10,3,3,ProductManager
3,4,6,5,1,6,9,6,9,3,4,9,7,9,10,8,7,CodingSkill
1,1,3,6,2,8,7,4,5,5,2,10,4,3,9,9,1,CodingSkill
4,4,9,3,4,8,9,9,7,7,3,5,10,8,7,3,10,CodingSkill
2,3,5,3,10,10,1,8,5,9,8,6,3,3,1,6,1,CodingSkill
8,6,2,2,4,2,3,4,4,5,3,1,9,2,6,6,7,SoftEng
4,7,10,6,5,7,8,2,1,1,3,2,1,1,7,2,8,CodingSkill
2,8,10,1,9,2,3,6,5,5,2,1,4,2,5,6,5,CodingSkill
6,2,7,9,1,1,8,3,4,1,5,1,10,10,2,5,9,CyberSecurity
6,6,3,10,8,8,3,1,1,7,2,7,4,6,4,2,8,UIUX
10,6,1,4,3,9,4,7,10,9,10,3,8,5,5,7,8,WebDev
4,10,3,2,9,7,4,4,1,6,10,1,4,7,4,4,5,CodingSkill
6,5,9,6,8,4,5,9,5,4,7,1,10,1,5,10,3,ProductManager
2,10,5,5,8,7,10,10,9,6,10,7,5,7,3,2,10,CodingSkill
10,10,7,3,9,4,10,10,1,1,8,5,4,2,7,2,8,WebDev
2,7,3,3,4,7,4,3,8,4,6,1,1,2,9,7,8,CodingSkill
10,3,4,5,5,4,7,10,9,6,9,8,8,7,3,9,2,WebDev
4,4,1,4,7,9,4,10,10,2,5,6,2,6,10,5,10,CodingSkill
8,10,3,5,2,5,1,10,4,3,6,5,10,1,8,9,2,SoftEng
7,9,7,2,7,7,5,1,8,4,4,6,5,2,4,9,7,ProductManager
9,4,4,1,3,8,8,2,1,6,9,8,10,3,5,10,7,GameDev
8,3,2,5,6,5,6,4,4,3,2,9,2,3,6,2,1,SoftEng
5,2,5,1,6,1,4,7,10,1,1,9,5,1,5,10,9,GameDev
2,5,5,3,6,4,4,8,2,6,6,3,4,3,7,2,4,CodingSkill
